mpp_id,patient,block_size,total_n,train_n,val_n,embargo_n,val_ratio,embargo_ratio,train_ratio,n_val_blocks,embargo_enabled,leakage_pairs
2,HYZ15040,672,1454,1309,145,0,0.0997,0.0,0.9003,37,False,0
2,JFX,672,2029,1826,203,0,0.1,0.0,0.9,54,False,0
2,LMZ12939,672,3351,3014,337,0,0.1006,0.0,0.8994,88,False,0
2,TGC,672,1116,998,118,0,0.1057,0.0,0.8943,16,False,0
2,XSL,672,1526,1365,161,0,0.1055,0.0,0.8945,20,False,0
2,ZHZ,672,1074,960,114,0,0.1061,0.0,0.8939,15,False,0
2,HYZ15040,1120,1454,1307,147,0,0.1011,0.0,0.8989,17,False,0
2,JFX,1120,2029,1822,207,0,0.102,0.0,0.898,35,False,0
2,LMZ12939,1120,3351,3009,342,0,0.1021,0.0,0.8979,39,False,0
2,TGC,1120,1116,985,131,0,0.1174,0.0,0.8826,7,False,0
2,XSL,1120,1526,1373,153,0,0.1003,0.0,0.8997,11,False,0
2,ZHZ,1120,1074,967,107,0,0.0996,0.0,0.9004,7,False,0
2,HYZ15040,1568,1454,1308,146,0,0.1004,0.0,0.8996,8,False,0
2,JFX,1568,2029,1824,205,0,0.101,0.0,0.899,21,False,0
2,LMZ12939,1568,3351,3008,343,0,0.1024,0.0,0.8976,24,False,0
2,TGC,1568,1116,995,121,0,0.1084,0.0,0.8916,4,False,0
2,XSL,1568,1526,1367,159,0,0.1042,0.0,0.8958,5,False,0
2,ZHZ,1568,1074,950,124,0,0.1155,0.0,0.8845,5,False,0
